symbol,exchange,ngành
BHP,UPCOM,Thực phẩm & Đồ uống
BIG,UPCOM,Thực phẩm & Đồ uống
BII,UPCOM,Bất động sản
BIO,UPCOM,Health Care
BLF,UPCOM,Thực phẩm & Đồ uống
BLI,UPCOM,Bảo hiểm
BLN,UPCOM,Travel & Leisure
BLT,UPCOM,Thực phẩm & Đồ uống
BMD,UPCOM,Industrial Goods & Services
BMF,UPCOM,"Điện, nước & xăng dầu khí đốt"
BMG,UPCOM,Personal & Household Goods
BMJ,UPCOM,Basic Resources
BMK,UPCOM,Construction & Materials
BMN,UPCOM,Construction & Materials
BMS,UPCOM,Financial Services
BMV,UPCOM,Thực phẩm & Đồ uống
BNW,UPCOM,"Điện, nước & xăng dầu khí đốt"
BOT,UPCOM,Construction & Materials
BQB,UPCOM,Thực phẩm & Đồ uống
BRR,UPCOM,Hóa chất
BRS,UPCOM,Industrial Goods & Services
BSA,UPCOM,"Điện, nước & xăng dầu khí đốt"
BSD,UPCOM,Thực phẩm & Đồ uống
BSG,UPCOM,Travel & Leisure
BSH,UPCOM,Thực phẩm & Đồ uống
BSL,UPCOM,Thực phẩm & Đồ uống
BSP,UPCOM,Thực phẩm & Đồ uống
BSQ,UPCOM,Thực phẩm & Đồ uống
BT1,UPCOM,Hóa chất
BT6,UPCOM,Construction & Materials
BTB,UPCOM,Thực phẩm & Đồ uống
BTD,UPCOM,Construction & Materials
BTG,UPCOM,Industrial Goods & Services
BTH,UPCOM,Industrial Goods & Services
BTN,UPCOM,Construction & Materials
BTU,UPCOM,Industrial Goods & Services
BTV,UPCOM,Travel & Leisure
BVB,UPCOM,Banks
BVG,UPCOM,Basic Resources
BVL,UPCOM,Bất động sản
BVN,UPCOM,Personal & Household Goods
BWA,UPCOM,"Điện, nước & xăng dầu khí đốt"
BWS,UPCOM,"Điện, nước & xăng dầu khí đốt"
C12,UPCOM,Construction & Materials
C21,UPCOM,Bất động sản
C22,UPCOM,Thực phẩm & Đồ uống
C4G,UPCOM,Construction & Materials
C92,UPCOM,Construction & Materials
CAD,UPCOM,Thực phẩm & Đồ uống
CAT,UPCOM,Thực phẩm & Đồ uống
CBI,UPCOM,Basic Resources
CBS,UPCOM,Thực phẩm & Đồ uống
CC1,UPCOM,Construction & Materials
CC4,UPCOM,Construction & Materials
CCA,UPCOM,Thực phẩm & Đồ uống
CCM,UPCOM,Construction & Materials
CCP,UPCOM,Industrial Goods & Services
CCT,UPCOM,Industrial Goods & Services
CCV,UPCOM,Construction & Materials
CDG,UPCOM,Construction & Materials
CDH,UPCOM,Industrial Goods & Services
CDO,UPCOM,Construction & Materials
CDP,UPCOM,Health Care
CDR,UPCOM,Construction & Materials
CEN,UPCOM,Bán lẻ
CFM,UPCOM,Industrial Goods & Services
CFV,UPCOM,Thực phẩm & Đồ uống
CGV,UPCOM,Construction & Materials
CH5,UPCOM,Construction & Materials
CHC,UPCOM,Construction & Materials
CHS,UPCOM,"Điện, nước & xăng dầu khí đốt"
CI5,UPCOM,Construction & Materials
CID,UPCOM,Construction & Materials
CIP,UPCOM,Construction & Materials
CK8,UPCOM,Bất động sản
CKA,UPCOM,Industrial Goods & Services
CKD,UPCOM,Industrial Goods & Services
CLG,UPCOM,Bất động sản
CLX,UPCOM,Thực phẩm & Đồ uống
CMD,UPCOM,Construction & Materials
CMF,UPCOM,Thực phẩm & Đồ uống
CMI,UPCOM,Construction & Materials
CMK,UPCOM,Industrial Goods & Services
CMM,UPCOM,Thực phẩm & Đồ uống
CMN,UPCOM,Thực phẩm & Đồ uống
CMP,UPCOM,Industrial Goods & Services
CMT,UPCOM,Công nghệ
CMW,UPCOM,"Điện, nước & xăng dầu khí đốt"
CNA,UPCOM,Thực phẩm & Đồ uống
CNC,UPCOM,Health Care
CNN,UPCOM,Construction & Materials
CNT,UPCOM,Construction & Materials
CPA,UPCOM,Thực phẩm & Đồ uống
CPH,UPCOM,Bán lẻ
CPI,UPCOM,Industrial Goods & Services
CQN,UPCOM,Industrial Goods & Services
CQT,UPCOM,Construction & Materials
CSI,UPCOM,Financial Services
CT3,UPCOM,Construction & Materials
CT6,UPCOM,Construction & Materials
CTA,UPCOM,Construction & Materials
CTN,UPCOM,Construction & Materials
CTW,UPCOM,"Điện, nước & xăng dầu khí đốt"
CTX,UPCOM,Construction & Materials
CYC,UPCOM,Construction & Materials
DAC,UPCOM,Construction & Materials
DAG,UPCOM,Hóa chất
DAN,UPCOM,Health Care
DAS,UPCOM,Automobiles & Parts
DBM,UPCOM,Health Care
DC1,UPCOM,Construction & Materials
DCF,UPCOM,Construction & Materials
DCG,UPCOM,Personal & Household Goods
DCH,UPCOM,Bất động sản
DCR,UPCOM,Construction & Materials
DCS,UPCOM,Personal & Household Goods
DCT,UPCOM,Construction & Materials
DDB,UPCOM,Construction & Materials
DDH,UPCOM,Industrial Goods & Services
DDM,UPCOM,Industrial Goods & Services
DDN,UPCOM,Health Care
DDV,UPCOM,Hóa chất
DFC,UPCOM,Basic Resources
DFF,UPCOM,Construction & Materials
DGT,UPCOM,Construction & Materials
DHB,UPCOM,Hóa chất
DHD,UPCOM,Health Care
DHN,UPCOM,Health Care
DIC,UPCOM,Construction & Materials
DID,UPCOM,Construction & Materials
DKC,UPCOM,Bán lẻ
DKG,UPCOM,Construction & Materials
DKW,UPCOM,"Điện, nước & xăng dầu khí đốt"
DLD,UPCOM,Travel & Leisure
DLR,UPCOM,Construction & Materials
DLT,UPCOM,Travel & Leisure
DM7,UPCOM,Personal & Household Goods
DMN,UPCOM,Thực phẩm & Đồ uống
DMS,UPCOM,"Điện, nước & xăng dầu khí đốt"
DNA,UPCOM,"Điện, nước & xăng dầu khí đốt"
DND,UPCOM,Construction & Materials
DNE,UPCOM,Industrial Goods & Services
DNH,UPCOM,"Điện, nước & xăng dầu khí đốt"
DNL,UPCOM,Industrial Goods & Services
DNM,UPCOM,Health Care
DNN,UPCOM,"Điện, nước & xăng dầu khí đốt"
DNT,UPCOM,Travel & Leisure
DNW,UPCOM,"Điện, nước & xăng dầu khí đốt"
DOC,UPCOM,Hóa chất
DOP,UPCOM,Industrial Goods & Services
DP1,UPCOM,Health Care
DP2,UPCOM,Health Care
DPC,UPCOM,Industrial Goods & Services
DPH,UPCOM,Health Care
DPP,UPCOM,Health Care
DPS,UPCOM,Basic Resources
DRG,UPCOM,Hóa chất
DRI,UPCOM,Hóa chất
DSD,UPCOM,Travel & Leisure
DSG,UPCOM,Construction & Materials
DSH,UPCOM,Construction & Materials
DSP,UPCOM,Travel & Leisure
DTB,UPCOM,Industrial Goods & Services
DTC,UPCOM,Construction & Materials
DTE,UPCOM,"Điện, nước & xăng dầu khí đốt"
DTH,UPCOM,Health Care
DTI,UPCOM,Travel & Leisure
DTP,UPCOM,Health Care
DUS,UPCOM,Industrial Goods & Services
DVC,UPCOM,"Điện, nước & xăng dầu khí đốt"
DVG,UPCOM,Construction & Materials
DVN,UPCOM,Health Care
DVW,UPCOM,Construction & Materials
DWC,UPCOM,"Điện, nước & xăng dầu khí đốt"
DWS,UPCOM,"Điện, nước & xăng dầu khí đốt"
DXL,UPCOM,Travel & Leisure
DZM,UPCOM,Industrial Goods & Services
E12,UPCOM,Construction & Materials
E29,UPCOM,Construction & Materials
ECO,UPCOM,Hóa chất
EFI,UPCOM,Bất động sản
EIC,UPCOM,Construction & Materials
EIN,UPCOM,Travel & Leisure
EME,UPCOM,Industrial Goods & Services
EMG,UPCOM,Industrial Goods & Services
EMS,UPCOM,Industrial Goods & Services
EPC,UPCOM,Thực phẩm & Đồ uống
EPH,UPCOM,Media
FBA,UPCOM,Personal & Household Goods
FBC,UPCOM,Industrial Goods & Services
FCC,UPCOM,Bất động sản
FCS,UPCOM,Thực phẩm & Đồ uống
FGL,UPCOM,Thực phẩm & Đồ uống
FHN,UPCOM,Bán lẻ
FHS,UPCOM,Media
FIC,UPCOM,Construction & Materials
FLC,UPCOM,Bất động sản
FOC,UPCOM,Media
FOX,UPCOM,Telecommunications
FRC,UPCOM,Basic Resources
FRM,UPCOM,Basic Resources
FSO,UPCOM,Industrial Goods & Services
FT1,UPCOM,Industrial Goods & Services
FTI,UPCOM,Automobiles & Parts
FTM,UPCOM,Personal & Household Goods
G20,UPCOM,Personal & Household Goods
G36,UPCOM,Construction & Materials
GAB,UPCOM,Construction & Materials
GCB,UPCOM,"Điện, nước & xăng dầu khí đốt"
GCF,UPCOM,Thực phẩm & Đồ uống
GDA,UPCOM,Basic Resources
GER,UPCOM,Hóa chất
GGG,UPCOM,Automobiles & Parts
GH3,UPCOM,Construction & Materials
GHC,UPCOM,"Điện, nước & xăng dầu khí đốt"
GLC,UPCOM,Basic Resources
GLW,UPCOM,"Điện, nước & xăng dầu khí đốt"
GMC,UPCOM,Personal & Household Goods
GND,UPCOM,Construction & Materials
GPC,UPCOM,Health Care
GSM,UPCOM,"Điện, nước & xăng dầu khí đốt"
GTD,UPCOM,Personal & Household Goods
GTS,UPCOM,Construction & Materials
GTT,UPCOM,Travel & Leisure
GVT,UPCOM,Basic Resources
H11,UPCOM,Construction & Materials
HAC,UPCOM,Financial Services
HAF,UPCOM,Thực phẩm & Đồ uống
HAI,UPCOM,Hóa chất
HAM,UPCOM,Construction & Materials
HAN,UPCOM,Construction & Materials
HAV,UPCOM,Thực phẩm & Đồ uống
HBC,UPCOM,Construction & Materials
HBD,UPCOM,Industrial Goods & Services
HBH,UPCOM,Thực phẩm & Đồ uống
HC1,UPCOM,Construction & Materials
HC3,UPCOM,Construction & Materials
HCB,UPCOM,Personal & Household Goods
HCI,UPCOM,Construction & Materials
HD2,UPCOM,Bất động sản
HD6,UPCOM,Bất động sản
HD8,UPCOM,Bất động sản
HDM,UPCOM,Personal & Household Goods
HDO,UPCOM,Industrial Goods & Services
HDP,UPCOM,Health Care
HDS,UPCOM,Thực phẩm & Đồ uống
HDW,UPCOM,"Điện, nước & xăng dầu khí đốt"
HEC,UPCOM,Industrial Goods & Services
HEJ,UPCOM,Construction & Materials
HEP,UPCOM,Industrial Goods & Services
HES,UPCOM,Travel & Leisure
HFB,UPCOM,Construction & Materials
HFC,UPCOM,"Điện, nước & xăng dầu khí đốt"
HFX,UPCOM,Bán lẻ
HGT,UPCOM,Travel & Leisure
HHG,UPCOM,Travel & Leisure
HHN,UPCOM,Industrial Goods & Services
HIG,UPCOM,Công nghệ
HIO,UPCOM,"Điện, nước & xăng dầu khí đốt"
HJC,UPCOM,Personal & Household Goods
HKB,UPCOM,Thực phẩm & Đồ uống
HLA,UPCOM,Basic Resources
HLB,UPCOM,Thực phẩm & Đồ uống
HLO,UPCOM,Industrial Goods & Services
HLS,UPCOM,Industrial Goods & Services
HLT,UPCOM,Personal & Household Goods
HLY,UPCOM,Construction & Materials
HMD,UPCOM,Hóa chất
HMG,UPCOM,Basic Resources
HMS,UPCOM,Construction & Materials
HNB,UPCOM,Industrial Goods & Services
HND,UPCOM,"Điện, nước & xăng dầu khí đốt"
HNF,UPCOM,Thực phẩm & Đồ uống
HNG,UPCOM,Thực phẩm & Đồ uống
HNI,UPCOM,Personal & Household Goods
HNM,UPCOM,Thực phẩm & Đồ uống
HNP,UPCOM,Hóa chất
HNR,UPCOM,Thực phẩm & Đồ uống
HOT,UPCOM,Travel & Leisure
HPB,UPCOM,Industrial Goods & Services
HPD,UPCOM,"Điện, nước & xăng dầu khí đốt"
HPH,UPCOM,Hóa chất
HPI,UPCOM,Bất động sản
HPM,UPCOM,Basic Resources
HPP,UPCOM,Construction & Materials
HPT,UPCOM,Công nghệ
HPW,UPCOM,"Điện, nước & xăng dầu khí đốt"
HRB,UPCOM,Bất động sản
HSA,UPCOM,Industrial Goods & Services
HSI,UPCOM,Hóa chất
HSM,UPCOM,Personal & Household Goods
HSP,UPCOM,Construction & Materials
HSV,UPCOM,Basic Resources
HTE,UPCOM,"Điện, nước & xăng dầu khí đốt"
HTM,UPCOM,Bán lẻ
HTP,UPCOM,Media
HTT,UPCOM,Bán lẻ
HU3,UPCOM,Construction & Materials
HU4,UPCOM,Construction & Materials
HU6,UPCOM,Bất động sản
HUG,UPCOM,Personal & Household Goods
HVA,UPCOM,Financial Services
HVG,UPCOM,Thực phẩm & Đồ uống
HWS,UPCOM,"Điện, nước & xăng dầu khí đốt"
IBC,UPCOM,Financial Services
IBD,UPCOM,Media
ICC,UPCOM,Construction & Materials
ICF,UPCOM,Thực phẩm & Đồ uống
ICI,UPCOM,Construction & Materials
ICN,UPCOM,Construction & Materials
IDP,UPCOM,Thực phẩm & Đồ uống
IFS,UPCOM,Thực phẩm & Đồ uống
IHK,UPCOM,Media
ILA,UPCOM,Construction & Materials
ILC,UPCOM,Industrial Goods & Services
ILS,UPCOM,Industrial Goods & Services
IME,UPCOM,Industrial Goods & Services
IN4,UPCOM,Media
ING,UPCOM,Construction & Materials
IRC,UPCOM,Hóa chất
ISG,UPCOM,Industrial Goods & Services
ISH,UPCOM,"Điện, nước & xăng dầu khí đốt"
IST,UPCOM,Industrial Goods & Services
ITA,UPCOM,Bất động sản
ITS,UPCOM,Industrial Goods & Services
JOS,UPCOM,Thực phẩm & Đồ uống
KAC,UPCOM,Bất động sản
KCB,UPCOM,Basic Resources
KCE,UPCOM,Construction & Materials
KGM,UPCOM,Bán lẻ
KHD,UPCOM,Basic Resources
KHL,UPCOM,Construction & Materials
KHW,UPCOM,"Điện, nước & xăng dầu khí đốt"
KIP,UPCOM,Industrial Goods & Services
KLB,UPCOM,Banks
KLF,UPCOM,Travel & Leisure
KSH,UPCOM,Basic Resources
KTC,UPCOM,Thực phẩm & Đồ uống
KTL,UPCOM,Basic Resources
KTT,UPCOM,Construction & Materials
KVC,UPCOM,Basic Resources
KWA,UPCOM,"Điện, nước & xăng dầu khí đốt"
L12,UPCOM,Construction & Materials
L35,UPCOM,Industrial Goods & Services
L43,UPCOM,Construction & Materials
L44,UPCOM,Industrial Goods & Services
L45,UPCOM,Construction & Materials
L61,UPCOM,Industrial Goods & Services
L62,UPCOM,Industrial Goods & Services
L63,UPCOM,Industrial Goods & Services
LAI,UPCOM,Construction & Materials
LAW,UPCOM,"Điện, nước & xăng dầu khí đốt"
LCC,UPCOM,Construction & Materials
LCM,UPCOM,Basic Resources
LCS,UPCOM,Construction & Materials
LDW,UPCOM,"Điện, nước & xăng dầu khí đốt"
LEC,UPCOM,Bất động sản
LG9,UPCOM,Construction & Materials
LGM,UPCOM,Personal & Household Goods
LIC,UPCOM,Construction & Materials
LKW,UPCOM,"Điện, nước & xăng dầu khí đốt"
LLM,UPCOM,Industrial Goods & Services
LM3,UPCOM,Construction & Materials
LM7,UPCOM,Industrial Goods & Services
LMC,UPCOM,Basic Resources
LMH,UPCOM,Bất động sản
LMI,UPCOM,Industrial Goods & Services
LNC,UPCOM,Hóa chất
LO5,UPCOM,Industrial Goods & Services
LPT,UPCOM,Industrial Goods & Services
LQN,UPCOM,Construction & Materials
LSG,UPCOM,Bất động sản
LTC,UPCOM,Công nghệ
LTG,UPCOM,Thực phẩm & Đồ uống
LUT,UPCOM,Construction & Materials
M10,UPCOM,Personal & Household Goods
MA1,UPCOM,Bất động sản
MBN,UPCOM,Industrial Goods & Services
MBT,UPCOM,Bất động sản
MCG,UPCOM,Construction & Materials
MCH,UPCOM,Thực phẩm & Đồ uống
MDA,UPCOM,Industrial Goods & Services
MDF,UPCOM,Basic Resources
MEC,UPCOM,Construction & Materials
MEF,UPCOM,Health Care
MES,UPCOM,Construction & Materials
MFS,UPCOM,Telecommunications
MGC,UPCOM,Basic Resources
MGG,UPCOM,Personal & Household Goods
MGR,UPCOM,Bất động sản
MH3,UPCOM,Bất động sản
MHL,UPCOM,Basic Resources
MIE,UPCOM,Industrial Goods & Services
MIM,UPCOM,Basic Resources
MKP,UPCOM,Health Care
MLC,UPCOM,Industrial Goods & Services
MLS,UPCOM,Thực phẩm & Đồ uống
MML,UPCOM,Thực phẩm & Đồ uống
MNB,UPCOM,Personal & Household Goods
MND,UPCOM,Industrial Goods & Services
MPC,UPCOM,Thực phẩm & Đồ uống
MPT,UPCOM,Personal & Household Goods
MPY,UPCOM,Industrial Goods & Services
MQB,UPCOM,Industrial Goods & Services
MQN,UPCOM,Industrial Goods & Services
MRF,UPCOM,Health Care
MSR,UPCOM,Basic Resources
MTA,UPCOM,Basic Resources
MTB,UPCOM,Industrial Goods & Services
MTC,UPCOM,Travel & Leisure
MTG,UPCOM,"Điện, nước & xăng dầu khí đốt"
MTH,UPCOM,Industrial Goods & Services
MTL,UPCOM,Industrial Goods & Services
MTP,UPCOM,Health Care
MTS,UPCOM,Industrial Goods & Services
MTV,UPCOM,Industrial Goods & Services
MTX,UPCOM,Industrial Goods & Services
MVC,UPCOM,Construction & Materials
MVN,UPCOM,Industrial Goods & Services
MZG,UPCOM,Basic Resources
NAC,UPCOM,Construction & Materials
NAS,UPCOM,Industrial Goods & Services
NAU,UPCOM,Industrial Goods & Services
NAW,UPCOM,"Điện, nước & xăng dầu khí đốt"
NBE,UPCOM,Media
NBT,UPCOM,"Điện, nước & xăng dầu khí đốt"
NCG,UPCOM,Thực phẩm & Đồ uống
NCS,UPCOM,Thực phẩm & Đồ uống
ND2,UPCOM,"Điện, nước & xăng dầu khí đốt"
NDC,UPCOM,Health Care
NDF,UPCOM,Thực phẩm & Đồ uống
NDP,UPCOM,Health Care
NDT,UPCOM,Personal & Household Goods
NDW,UPCOM,"Điện, nước & xăng dầu khí đốt"
NED,UPCOM,Construction & Materials
NEM,UPCOM,Industrial Goods & Services
NGC,UPCOM,Thực phẩm & Đồ uống
NHP,UPCOM,Industrial Goods & Services
NHV,UPCOM,Basic Resources
NJC,UPCOM,Personal & Household Goods
NLS,UPCOM,"Điện, nước & xăng dầu khí đốt"
NNT,UPCOM,"Điện, nước & xăng dầu khí đốt"
NOS,UPCOM,Industrial Goods & Services
NQB,UPCOM,"Điện, nước & xăng dầu khí đốt"
NQN,UPCOM,"Điện, nước & xăng dầu khí đốt"
NQT,UPCOM,"Điện, nước & xăng dầu khí đốt"
NS2,UPCOM,"Điện, nước & xăng dầu khí đốt"
NSG,UPCOM,Hóa chất
NSL,UPCOM,"Điện, nước & xăng dầu khí đốt"
NSS,UPCOM,Thực phẩm & Đồ uống
NTB,UPCOM,Bất động sản
NTC,UPCOM,Bất động sản
NTF,UPCOM,Health Care
NTT,UPCOM,Personal & Household Goods
NTW,UPCOM,"Điện, nước & xăng dầu khí đốt"
NUE,UPCOM,Industrial Goods & Services
NVP,UPCOM,"Điện, nước & xăng dầu khí đốt"
NWT,UPCOM,Travel & Leisure
NXT,UPCOM,Construction & Materials
ODE,UPCOM,Media
OIL,UPCOM,Dầu khí
ONW,UPCOM,Travel & Leisure
PAI,UPCOM,Telecommunications
PAP,UPCOM,Industrial Goods & Services
PAS,UPCOM,Basic Resources
PAT,UPCOM,Hóa chất
PBC,UPCOM,Health Care
PBT,UPCOM,Industrial Goods & Services
PCC,UPCOM,Construction & Materials
PCF,UPCOM,Thực phẩm & Đồ uống
PCM,UPCOM,Construction & Materials
PDC,UPCOM,Travel & Leisure
PDV,UPCOM,Industrial Goods & Services
PEC,UPCOM,Industrial Goods & Services
PEG,UPCOM,"Điện, nước & xăng dầu khí đốt"
PEQ,UPCOM,Dầu khí
PFL,UPCOM,Construction & Materials
PGB,UPCOM,Banks
PHH,UPCOM,Construction & Materials
PHP,UPCOM,Industrial Goods & Services
PHS,UPCOM,Financial Services
PID,UPCOM,Construction & Materials
PIS,UPCOM,Basic Resources
PIV,UPCOM,Bất động sản
PJS,UPCOM,"Điện, nước & xăng dầu khí đốt"
PLA,UPCOM,Bất động sản
PLE,UPCOM,Construction & Materials
PLO,UPCOM,Industrial Goods & Services
PMJ,UPCOM,Công nghệ
PMT,UPCOM,Công nghệ
PMW,UPCOM,"Điện, nước & xăng dầu khí đốt"
PND,UPCOM,"Điện, nước & xăng dầu khí đốt"
PNG,UPCOM,Travel & Leisure
PNP,UPCOM,Industrial Goods & Services
PNT,UPCOM,Construction & Materials
POB,UPCOM,"Điện, nước & xăng dầu khí đốt"
POM,UPCOM,Basic Resources
POS,UPCOM,Dầu khí
POV,UPCOM,"Điện, nước & xăng dầu khí đốt"
PPH,UPCOM,Personal & Household Goods
PPI,UPCOM,Bất động sản
PQN,UPCOM,Industrial Goods & Services
PRO,UPCOM,Thực phẩm & Đồ uống
PRT,UPCOM,Bất động sản
PSB,UPCOM,Construction & Materials
PSG,UPCOM,Construction & Materials
PSL,UPCOM,Thực phẩm & Đồ uống
PSN,UPCOM,Industrial Goods & Services
PSP,UPCOM,Industrial Goods & Services
PTE,UPCOM,Construction & Materials
PTG,UPCOM,Personal & Household Goods
PTH,UPCOM,"Điện, nước & xăng dầu khí đốt"
PTO,UPCOM,Construction & Materials
PTP,UPCOM,Telecommunications
PTT,UPCOM,Industrial Goods & Services
PTV,UPCOM,Dầu khí
PVA,UPCOM,Construction & Materials
PVE,UPCOM,Dầu khí
PVH,UPCOM,Construction & Materials
PVL,UPCOM,Bất động sản
PVM,UPCOM,Industrial Goods & Services
PVO,UPCOM,Hóa chất
PVR,UPCOM,Bất động sản
PVV,UPCOM,Construction & Materials
PVX,UPCOM,Construction & Materials
PVY,UPCOM,Construction & Materials
PWA,UPCOM,Bất động sản
PWS,UPCOM,"Điện, nước & xăng dầu khí đốt"
PX1,UPCOM,Construction & Materials
PXA,UPCOM,Bất động sản
PXC,UPCOM,Bất động sản
PXI,UPCOM,Construction & Materials
PXL,UPCOM,Bất động sản
PXM,UPCOM,Construction & Materials
PXS,UPCOM,Construction & Materials
PXT,UPCOM,Construction & Materials
QBS,UPCOM,Hóa chất
QCC,UPCOM,Construction & Materials
QHW,UPCOM,Thực phẩm & Đồ uống
QNC,UPCOM,Construction & Materials
QNS,UPCOM,Thực phẩm & Đồ uống
QNT,UPCOM,Construction & Materials
QNU,UPCOM,Industrial Goods & Services
QNW,UPCOM,"Điện, nước & xăng dầu khí đốt"
QPH,UPCOM,"Điện, nước & xăng dầu khí đốt"
QSP,UPCOM,Industrial Goods & Services
QTP,UPCOM,"Điện, nước & xăng dầu khí đốt"
RAT,UPCOM,Industrial Goods & Services
RBC,UPCOM,Hóa chất
RCC,UPCOM,Construction & Materials
RCD,UPCOM,Construction & Materials
RDP,UPCOM,Hóa chất
RIC,UPCOM,Travel & Leisure
RTB,UPCOM,Hóa chất
S12,UPCOM,Construction & Materials
S27,UPCOM,Construction & Materials
S72,UPCOM,Construction & Materials
S74,UPCOM,Construction & Materials
S96,UPCOM,Construction & Materials
SAC,UPCOM,Industrial Goods & Services
SAL,UPCOM,Industrial Goods & Services
SAP,UPCOM,Media
SAS,UPCOM,Bán lẻ
SB1,UPCOM,Thực phẩm & Đồ uống
SBB,UPCOM,Thực phẩm & Đồ uống
SBD,UPCOM,Công nghệ
SBH,UPCOM,"Điện, nước & xăng dầu khí đốt"
SBL,UPCOM,Thực phẩm & Đồ uống
SBM,UPCOM,Construction & Materials
SBR,UPCOM,Hóa chất
SBS,UPCOM,Financial Services
SCC,UPCOM,Construction & Materials
SCD,UPCOM,Thực phẩm & Đồ uống
SCJ,UPCOM,Construction & Materials
SCL,UPCOM,Construction & Materials
SCO,UPCOM,Industrial Goods & Services
SCY,UPCOM,Industrial Goods & Services
SD1,UPCOM,Construction & Materials
SD2,UPCOM,Construction & Materials
SD3,UPCOM,Construction & Materials
SD4,UPCOM,Construction & Materials
SD6,UPCOM,Construction & Materials
SD7,UPCOM,Construction & Materials
SD8,UPCOM,Construction & Materials
SDB,UPCOM,Construction & Materials
SDD,UPCOM,Construction & Materials
SDJ,UPCOM,Construction & Materials
SDK,UPCOM,Industrial Goods & Services
SDP,UPCOM,Construction & Materials
SDT,UPCOM,Construction & Materials
SDV,UPCOM,Industrial Goods & Services
SDX,UPCOM,Construction & Materials
SDY,UPCOM,Construction & Materials
SEA,UPCOM,Thực phẩm & Đồ uống
SEP,UPCOM,Hóa chất
SGB,UPCOM,Banks
SGI,UPCOM,Personal & Household Goods
SGP,UPCOM,Industrial Goods & Services
SGS,UPCOM,Industrial Goods & Services
SHC,UPCOM,Industrial Goods & Services
SHG,UPCOM,Construction & Materials
SID,UPCOM,Bất động sản
SIG,UPCOM,Construction & Materials
SII,UPCOM,"Điện, nước & xăng dầu khí đốt"
SIV,UPCOM,Construction & Materials
SJC,UPCOM,Construction & Materials
SJF,UPCOM,Basic Resources
SJG,UPCOM,Construction & Materials
SJM,UPCOM,Construction & Materials
SKH,UPCOM,Thực phẩm & Đồ uống
SKN,UPCOM,Thực phẩm & Đồ uống
SKV,UPCOM,Thực phẩm & Đồ uống
SNC,UPCOM,Thực phẩm & Đồ uống
SNZ,UPCOM,Construction & Materials
SP2,UPCOM,"Điện, nước & xăng dầu khí đốt"
SPB,UPCOM,Personal & Household Goods
SPD,UPCOM,Thực phẩm & Đồ uống
SPH,UPCOM,Thực phẩm & Đồ uống
SPV,UPCOM,Thực phẩm & Đồ uống
SQC,UPCOM,Basic Resources
SRB,UPCOM,Công nghệ
SSF,UPCOM,Personal & Household Goods
SSG,UPCOM,Industrial Goods & Services
SSH,UPCOM,Bất động sản
SSN,UPCOM,Thực phẩm & Đồ uống
STH,UPCOM,Media
STL,UPCOM,Bất động sản
STS,UPCOM,Industrial Goods & Services
STT,UPCOM,Travel & Leisure
STW,UPCOM,"Điện, nước & xăng dầu khí đốt"
SVG,UPCOM,Industrial Goods & Services
SVH,UPCOM,"Điện, nước & xăng dầu khí đốt"
SWC,UPCOM,Industrial Goods & Services
SZE,UPCOM,Industrial Goods & Services
SZG,UPCOM,Bất động sản
TA6,UPCOM,Construction & Materials
TAB,UPCOM,Industrial Goods & Services
TAL,UPCOM,Bất động sản
TAN,UPCOM,Thực phẩm & Đồ uống
TAR,UPCOM,Thực phẩm & Đồ uống
TAW,UPCOM,"Điện, nước & xăng dầu khí đốt"
TB8,UPCOM,Industrial Goods & Services
TBD,UPCOM,Industrial Goods & Services
TBH,UPCOM,Industrial Goods & Services
TBR,UPCOM,Bất động sản
TBT,UPCOM,Construction & Materials
TBW,UPCOM,"Điện, nước & xăng dầu khí đốt"
TCJ,UPCOM,Thực phẩm & Đồ uống
TCK,UPCOM,Construction & Materials
TCW,UPCOM,Industrial Goods & Services
TDB,UPCOM,"Điện, nước & xăng dầu khí đốt"
TDF,UPCOM,Construction & Materials
TDS,UPCOM,Basic Resources
TED,UPCOM,Construction & Materials
TEL,UPCOM,Construction & Materials
TGG,UPCOM,Construction & Materials
TGP,UPCOM,Industrial Goods & Services
TH1,UPCOM,Bán lẻ
THM,UPCOM,Personal & Household Goods
THN,UPCOM,"Điện, nước & xăng dầu khí đốt"
THP,UPCOM,Thực phẩm & Đồ uống
THU,UPCOM,Industrial Goods & Services
THW,UPCOM,"Điện, nước & xăng dầu khí đốt"
TID,UPCOM,Bất động sản
TIE,UPCOM,Industrial Goods & Services
TIN,UPCOM,Financial Services
TIS,UPCOM,Basic Resources
TKA,UPCOM,Industrial Goods & Services
TKC,UPCOM,Construction & Materials
TKG,UPCOM,Basic Resources
TL4,UPCOM,Construction & Materials
TLI,UPCOM,Personal & Household Goods
TLP,UPCOM,"Điện, nước & xăng dầu khí đốt"
TLT,UPCOM,Construction & Materials
TMG,UPCOM,Basic Resources
TMW,UPCOM,Basic Resources
TNA,UPCOM,Basic Resources
TNB,UPCOM,Basic Resources
TNM,UPCOM,Construction & Materials
TNP,UPCOM,Industrial Goods & Services
TNS,UPCOM,Basic Resources
TNV,UPCOM,Personal & Household Goods
TNW,UPCOM,"Điện, nước & xăng dầu khí đốt"
TOP,UPCOM,Bán lẻ
TOS,UPCOM,Dầu khí
TOW,UPCOM,"Điện, nước & xăng dầu khí đốt"
TPS,UPCOM,Travel & Leisure
