symbol,exchange,ngành
HTV,HOSE,Industrial Goods & Services
HU1,HOSE,Construction & Materials
HUB,HOSE,Construction & Materials
HVH,HOSE,Construction & Materials
HVN,HOSE,Travel & Leisure
HVX,HOSE,Construction & Materials
ICT,HOSE,Công nghệ
IDI,HOSE,Thực phẩm & Đồ uống
IJC,HOSE,Bất động sản
ILB,HOSE,Industrial Goods & Services
IMP,HOSE,Health Care
ITC,HOSE,Bất động sản
ITD,HOSE,Công nghệ
JVC,HOSE,Health Care
KBC,HOSE,Bất động sản
KDC,HOSE,Thực phẩm & Đồ uống
KDH,HOSE,Bất động sản
KHG,HOSE,Bất động sản
KHP,HOSE,"Điện, nước & xăng dầu khí đốt"
KMR,HOSE,Personal & Household Goods
KOS,HOSE,Bất động sản
KPF,HOSE,Construction & Materials
KSB,HOSE,Basic Resources
L10,HOSE,Industrial Goods & Services
LAF,HOSE,Thực phẩm & Đồ uống
LBM,HOSE,Construction & Materials
LCG,HOSE,Construction & Materials
LDG,HOSE,Bất động sản
LGC,HOSE,Construction & Materials
LGL,HOSE,Bất động sản
LHG,HOSE,Bất động sản
LIX,HOSE,Personal & Household Goods
LM8,HOSE,Construction & Materials
LPB,HOSE,Banks
LSS,HOSE,Thực phẩm & Đồ uống
MBB,HOSE,Banks
MCM,HOSE,Thực phẩm & Đồ uống
MCP,HOSE,Industrial Goods & Services
MDG,HOSE,Construction & Materials
MHC,HOSE,Industrial Goods & Services
MIG,HOSE,Bảo hiểm
MSB,HOSE,Banks
MSH,HOSE,Personal & Household Goods
MSN,HOSE,Thực phẩm & Đồ uống
MWG,HOSE,Bán lẻ
NAB,HOSE,Banks
NAF,HOSE,Thực phẩm & Đồ uống
NAV,HOSE,Construction & Materials
NBB,HOSE,Bất động sản
NCT,HOSE,Industrial Goods & Services
NHA,HOSE,Construction & Materials
NHH,HOSE,Hóa chất
NHT,HOSE,Personal & Household Goods
NKG,HOSE,Basic Resources
NLG,HOSE,Bất động sản
NNC,HOSE,Construction & Materials
NO1,HOSE,Industrial Goods & Services
NSC,HOSE,Thực phẩm & Đồ uống
NT2,HOSE,"Điện, nước & xăng dầu khí đốt"
NTL,HOSE,Bất động sản
NVL,HOSE,Bất động sản
NVT,HOSE,Bất động sản
OCB,HOSE,Banks
OGC,HOSE,Financial Services
OPC,HOSE,Health Care
ORS,HOSE,Financial Services
PAC,HOSE,Industrial Goods & Services
PAN,HOSE,Thực phẩm & Đồ uống
PC1,HOSE,Construction & Materials
PDN,HOSE,Industrial Goods & Services
PDR,HOSE,Bất động sản
PET,HOSE,Bán lẻ
PGC,HOSE,"Điện, nước & xăng dầu khí đốt"
PGD,HOSE,"Điện, nước & xăng dầu khí đốt"
PGI,HOSE,Bảo hiểm
PGV,HOSE,"Điện, nước & xăng dầu khí đốt"
PHC,HOSE,Construction & Materials
PHR,HOSE,Hóa chất
PIT,HOSE,Bán lẻ
PJT,HOSE,Industrial Goods & Services
PLP,HOSE,Hóa chất
PLX,HOSE,Dầu khí
PMG,HOSE,"Điện, nước & xăng dầu khí đốt"
PNC,HOSE,Media
PNJ,HOSE,Personal & Household Goods
POW,HOSE,"Điện, nước & xăng dầu khí đốt"
PPC,HOSE,"Điện, nước & xăng dầu khí đốt"
PSH,HOSE,"Điện, nước & xăng dầu khí đốt"
PTB,HOSE,Basic Resources
PTC,HOSE,Construction & Materials
PTL,HOSE,Bất động sản
PVD,HOSE,Dầu khí
PVP,HOSE,Industrial Goods & Services
PVT,HOSE,Industrial Goods & Services
QCG,HOSE,Bất động sản
QNP,HOSE,Industrial Goods & Services
RAL,HOSE,Personal & Household Goods
REE,HOSE,"Điện, nước & xăng dầu khí đốt"
RYG,HOSE,Construction & Materials
S4A,HOSE,"Điện, nước & xăng dầu khí đốt"
SAB,HOSE,Thực phẩm & Đồ uống
SAM,HOSE,Công nghệ
SAV,HOSE,Basic Resources
SBA,HOSE,"Điện, nước & xăng dầu khí đốt"
SBG,HOSE,Industrial Goods & Services
SBT,HOSE,Thực phẩm & Đồ uống
SBV,HOSE,Bán lẻ
SC5,HOSE,Construction & Materials
SCR,HOSE,Bất động sản
SCS,HOSE,Travel & Leisure
SFC,HOSE,"Điện, nước & xăng dầu khí đốt"
SFG,HOSE,Hóa chất
SFI,HOSE,Industrial Goods & Services
SGN,HOSE,Industrial Goods & Services
SGR,HOSE,Bất động sản
SGT,HOSE,Công nghệ
SHA,HOSE,Basic Resources
SHB,HOSE,Banks
SHI,HOSE,Basic Resources
SHP,HOSE,"Điện, nước & xăng dầu khí đốt"
SIP,HOSE,Bất động sản
SJD,HOSE,"Điện, nước & xăng dầu khí đốt"
SJS,HOSE,Bất động sản
SKG,HOSE,Travel & Leisure
SMA,HOSE,"Điện, nước & xăng dầu khí đốt"
SMB,HOSE,Thực phẩm & Đồ uống
SMC,HOSE,Basic Resources
SPM,HOSE,Health Care
SRC,HOSE,Automobiles & Parts
SRF,HOSE,Industrial Goods & Services
SSB,HOSE,Banks
SSC,HOSE,Thực phẩm & Đồ uống
SSI,HOSE,Financial Services
ST8,HOSE,Công nghệ
STB,HOSE,Banks
STG,HOSE,Industrial Goods & Services
STK,HOSE,Personal & Household Goods
SVC,HOSE,Automobiles & Parts
SVD,HOSE,Personal & Household Goods
SVI,HOSE,Industrial Goods & Services
SVT,HOSE,Bán lẻ
SZC,HOSE,Bất động sản
SZL,HOSE,Bất động sản
TBC,HOSE,"Điện, nước & xăng dầu khí đốt"
TCB,HOSE,Banks
TCD,HOSE,Construction & Materials
TCH,HOSE,Bất động sản
TCI,HOSE,Financial Services
TCL,HOSE,Industrial Goods & Services
TCM,HOSE,Personal & Household Goods
TCO,HOSE,Thực phẩm & Đồ uống
TCR,HOSE,Construction & Materials
TCT,HOSE,Travel & Leisure
TDC,HOSE,Bất động sản
TDG,HOSE,"Điện, nước & xăng dầu khí đốt"
TDH,HOSE,Bất động sản
TDM,HOSE,"Điện, nước & xăng dầu khí đốt"
TDP,HOSE,Industrial Goods & Services
TDW,HOSE,"Điện, nước & xăng dầu khí đốt"
TEG,HOSE,Bất động sản
THG,HOSE,Construction & Materials
TIP,HOSE,Bất động sản
TIX,HOSE,Bất động sản
TLD,HOSE,Bất động sản
TLG,HOSE,Personal & Household Goods
TLH,HOSE,Basic Resources
TMP,HOSE,"Điện, nước & xăng dầu khí đốt"
TMS,HOSE,Industrial Goods & Services
TMT,HOSE,Automobiles & Parts
TN1,HOSE,Bất động sản
TNC,HOSE,Hóa chất
TNH,HOSE,Health Care
TNI,HOSE,Basic Resources
TNT,HOSE,Basic Resources
TPB,HOSE,Banks
TPC,HOSE,Hóa chất
TRA,HOSE,Health Care
TRC,HOSE,Hóa chất
TSC,HOSE,Hóa chất
TTA,HOSE,"Điện, nước & xăng dầu khí đốt"
TTE,HOSE,"Điện, nước & xăng dầu khí đốt"
TTF,HOSE,Basic Resources
TV2,HOSE,Industrial Goods & Services
TVB,HOSE,Financial Services
TVS,HOSE,Financial Services
TVT,HOSE,Personal & Household Goods
TYA,HOSE,Industrial Goods & Services
UIC,HOSE,"Điện, nước & xăng dầu khí đốt"
VAF,HOSE,Hóa chất
VCA,HOSE,Basic Resources
VCB,HOSE,Banks
VCF,HOSE,Thực phẩm & Đồ uống
VCG,HOSE,Construction & Materials
VCI,HOSE,Financial Services
VDP,HOSE,Health Care
VDS,HOSE,Financial Services
VFG,HOSE,Hóa chất
VGC,HOSE,Construction & Materials
VHC,HOSE,Thực phẩm & Đồ uống
VHM,HOSE,Bất động sản
VIB,HOSE,Banks
VIC,HOSE,Bất động sản
VID,HOSE,Basic Resources
VIP,HOSE,Industrial Goods & Services
VIX,HOSE,Financial Services
VJC,HOSE,Travel & Leisure
VMD,HOSE,Health Care
VND,HOSE,Financial Services
VNE,HOSE,Construction & Materials
VNG,HOSE,Travel & Leisure
VNL,HOSE,Industrial Goods & Services
VNM,HOSE,Thực phẩm & Đồ uống
VNS,HOSE,Travel & Leisure
VOS,HOSE,Industrial Goods & Services
VPB,HOSE,
VPD,HOSE,"Điện, nước & xăng dầu khí đốt"
VPG,HOSE,Basic Resources
VPH,HOSE,Bất động sản
VPI,HOSE,Bất động sản
VPL,HOSE,Travel & Leisure
VPS,HOSE,Hóa chất
VRC,HOSE,Bất động sản
VRE,HOSE,Bất động sản
VSC,HOSE,Industrial Goods & Services
VSH,HOSE,"Điện, nước & xăng dầu khí đốt"
VSI,HOSE,Construction & Materials
VTB,HOSE,Industrial Goods & Services
VTO,HOSE,Industrial Goods & Services
VTP,HOSE,Industrial Goods & Services
YBM,HOSE,Basic Resources
YEG,HOSE,Media
AAV,HNX,Bất động sản
ADC,HNX,Media
ALT,HNX,Media
AMC,HNX,Basic Resources
AME,HNX,Industrial Goods & Services
AMV,HNX,Health Care
API,HNX,Bất động sản
APS,HNX,Financial Services
ARM,HNX,Industrial Goods & Services
ATS,HNX,Travel & Leisure
BAB,HNX,Banks
BAX,HNX,Construction & Materials
BBS,HNX,Industrial Goods & Services
BCC,HNX,Construction & Materials
BCF,HNX,Thực phẩm & Đồ uống
BDB,HNX,Media
BED,HNX,Media
BKC,HNX,Basic Resources
BNA,HNX,Thực phẩm & Đồ uống
BPC,HNX,Industrial Goods & Services
BSC,HNX,Bất động sản
BST,HNX,Media
BTS,HNX,Construction & Materials
BTW,HNX,"Điện, nước & xăng dầu khí đốt"
BVS,HNX,Financial Services
BXH,HNX,Industrial Goods & Services
C69,HNX,Construction & Materials
CAG,HNX,Industrial Goods & Services
CAN,HNX,Thực phẩm & Đồ uống
CAP,HNX,Basic Resources
CAR,HNX,Industrial Goods & Services
CCR,HNX,Industrial Goods & Services
CDN,HNX,Industrial Goods & Services
CEO,HNX,Bất động sản
CET,HNX,Personal & Household Goods
CIA,HNX,Industrial Goods & Services
CJC,HNX,Industrial Goods & Services
CKV,HNX,Công nghệ
CLH,HNX,Construction & Materials
CLM,HNX,Basic Resources
CMC,HNX,Industrial Goods & Services
CMS,HNX,Construction & Materials
CPC,HNX,Hóa chất
CSC,HNX,Construction & Materials
CST,HNX,Basic Resources
CTB,HNX,Industrial Goods & Services
CTP,HNX,Thực phẩm & Đồ uống
CTT,HNX,Industrial Goods & Services
CVN,HNX,Health Care
CX8,HNX,Construction & Materials
D11,HNX,Bất động sản
DAD,HNX,Media
DAE,HNX,Media
DC2,HNX,Construction & Materials
DDG,HNX,"Điện, nước & xăng dầu khí đốt"
DHP,HNX,Industrial Goods & Services
DHT,HNX,Bán lẻ
DIH,HNX,Construction & Materials
DL1,HNX,Industrial Goods & Services
DNC,HNX,"Điện, nước & xăng dầu khí đốt"
DNP,HNX,Construction & Materials
